source_id,specimen_id,load_step,rotation_rad,measured_response_as_published,predicted_response_as_published,data_provenance
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,10,0.00455177,13.37800000,11.69232500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,11,0.00503090,12.98430000,12.98430000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,12,0.00551003,12.51300000,13.16560000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,13,0.00598917,13.34690000,13.34690000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,14,0.00646830,12.99315000,13.36611064,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,15,0.02850843,14.24980000,14.24980000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,1,0.00034267,11.26740000,11.26740000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,2,0.00102802,12.42675000,12.15720000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,3,0.00171337,13.04700000,13.04700000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,4,0.00239872,13.20000000,12.70812500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,5,0.00308407,12.36925000,12.36925000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,6,0.00376942,13.13640000,12.90382500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,7,0.00445477,13.43840000,13.43840000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,8,0.00514012,13.88240000,13.43855385,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,9,0.03118342,13.44440000,13.44440000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,10,0.03186877,13.00840000,13.18925000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,11,0.03255412,12.93410000,12.93410000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,12,0.03323947,13.98450000,12.87342500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,13,0.03392482,12.81275000,12.81275000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,14,0.03461017,12.77625000,13.45747500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,15,0.03529552,14.10220000,14.10220000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,16,0.03598087,12.67680000,13.35760000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,17,0.03666622,12.61300000,12.61300000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,18,0.03735157,12.55925000,13.32920000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,19,0.03803692,14.04540000,14.04540000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,20,0.03872228,13.81720000,13.75465000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,21,0.03940762,13.46390000,13.46390000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,22,0.04009297,10.94145000,12.02102500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC05,23,0.04077832,10.57815000,10.57815000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,1,0.00020583,11.82340000,11.82340000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,2,0.00061749,11.98070000,11.90355000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,3,0.00102914,11.98370000,11.98370000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,4,0.00144080,12.00790000,12.00965000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,5,0.00185246,12.03560000,12.03560000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,6,0.00226411,12.17485000,12.47360000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,7,0.00267577,12.91160000,12.91160000,processed from DesignSafe raw sac2rc*.txt cyclic response files
